titulo;url;regiao;descricao
Cientista de Dados;https://www.catho.com.br/vagas/cientista-de-dados/18607324/?origem_apply=busca-de-vagas&entrada_apply=direto;João Pessoa - PB (1);Resolver problemas de negócios usando técnicas orientadas por dados. Trabalhar com uma variedade de linguagens de programação, incluindo R e Python. Ter uma sólida compreensão de estatística, incluindo testes e distribuições. Estar sempre atualizado sobre técnicas analíticas, como machine learning, deep learning e análise de texto. Coletar grandes quantidades de dados não- estruturados e transformá-los em um formato mais utilizável. Conhecimento em banco de dados NoSQL (MongoDB). Experiência comprovada na função de Cientista de Dados. Graduação em curso de nível superior na área de Tecnologia da Informação, ou conclusão de qualquer curso de nível superior acompanhado de certificado de curso de pós-graduação (especialização, mestrado ou doutorado) na área de Tecnologia da Informação.
Cientista de Dados;https://www.catho.com.br/vagas/cientista-de-dados/18600759/?origem_apply=busca-de-vagas&entrada_apply=direto;São Paulo - SP (1);Criar e a manter pipelines de dados que irão ser utilizados para responder perguntas de negócio, servir como origem de Dashboard Power BI podendo ter modelos de Inteligência Artificial / Machine Learning usando a linguagem python. Responsabilidades e atribuições Realizar o desenvolvimento e elaborar boas práticas de desenvolvimento de códigos Power BI Construção de ETLs e base de dados analíticas, utilizando solução em nuvem da Azure, com os componentes DataFactory, DataBricks, este último utilizando a linguagem python Construção de relatório Dashboards Utilizando Microsoft Power BI Criar processos automatizados de webscraping Levantamento de necessidade com as áreas de negócios e construção de documentação. Facilitar a comunicação das diferentes áreas frente aos projetos de BI e Bigdata. Alinhar o ambiente corporativo de TI com as necessidades de negócios, padrões e melhores práticas de mercado. Ensino Médio completo.  com plataforma Azure com os componentes DataFactory, DataBricks e desenvolvimento de Dashboard em PowerBI Experiência  em extração e manipulação de dados a partir de planilhas, arquivos e bases de dados Experiência  em linguagem de programação de base de dados: PL/SQL, Python.   Inglês e/ou Espanhol Intermediário.   Conhecer métodos ágeis Alinhar o ambiente corporativo de TI com as necessidades de negócios, padrões e melhores práticas de mercado.
Cientista de Dados;https://www.catho.com.br/vagas/cientista-de-dados/18601688/?origem_apply=busca-de-vagas&entrada_apply=direto;São Paulo - SP (1);Implementação de melhorias nos controles se tornando mais abrangentes e eficazes.  Estruturação dos controles automáticos com a utilização de Machine Learning.  Implementação de Inteligência Artificial para controles e processos elegíveis. Big Data, Hive, HBASE, Python, Machine Learning, Inteligência Artificial, R, Power BI.  Formação Superior completa
Cientista de Dados;https://www.catho.com.br/vagas/cientista-de-dados/18361453/?origem_apply=busca-de-vagas&entrada_apply=direto;São Paulo - SP (1);Empresa nacional, focada na melhoria da Educação Pública, busca profissional para: Utilizar técnicas de machine learning para elaboração de pesquisas e diagnóstico voltados para a tomada de decisão de gestores. Processamento de dados usando ambiente na nuvem e processamento em clusters. Elaboração de relatórios analíticos. Elaboração de rotinas de análises automatizadas utilizando o portfólio de dados educacionais. Graduação em Tecnologia da Informação, Estatístico, Economista, Engenheiro, Análise de Sistema ou áreas afins. Pós Graduação completa. Conhecimento em Machine Learning Avançado, SQL Intermediário. Processamento em NLP Intermediário. Pyton/R Avançado. Plataformas de hospedagem Intermediário. Experiências e qualificações: Conhecimentos necessários: Machine Learning Python/R SQL Plataformas de hospedagem (e.g. Github). Conhecimento desejável: Processamento em NLP.
Cientista de Dados;https://www.catho.com.br/vagas/cientista-de-dados/18595649/?origem_apply=busca-de-vagas&entrada_apply=direto;São Paulo - SP (1);Mapeamento de oportunidades de aplicação de ML e IA junto as áreas de negócio para elaboração de Business Case e projetos. Análise e desenvolvimento de projetos matemáticos / estatísticos para área de seguros. Apoio no desenvolvimento e validação de modelos preditivos. Desenvolvimento de estudos com foco em melhoria de processos e oportunidades de otimização de custos/ aumento de receita. Estudo de indicadores de performance e resultado. Mineração e manipulação de banco de dados. Formação Superior completa em Matemática, Estatística, Ciências Astuariais, Engenharia entre outras. SQL Intermediário Inglês intermediário. Experiência em manipulação de base de dados. Experiência no desenvolvimento de modelos estatísticos e técnicas em Machine learning. Habilidades numéricas, capacidade analítica e raciocínio lógico. Diferenciais: Conhecimento em Softwares como SAS, Microsofit Power BI, R Python e Data robot. Conhecimento na área de seguros. Superior completo.
Cientista de Dados;https://www.catho.com.br/vagas/cientista-de-dados/18592723/?origem_apply=busca-de-vagas&entrada_apply=direto;Indaiatuba - SP (1);Você irá trabalhar em nossa área de Monetização. Esta área é responsável por toda a estratégia de dados e valores do produto. Irá trabalhar diretamente com especialistas em precificação, compras, rentabilidade, estratégia de mercado, entre outros. Posição fundamental para o crescimento do produto de forma escalável e sustentável. Fazer perguntas e encontrar respostas, dentro dos dados, que o resto do time não consegue ver. Conduzir, com apoio da liderança e equipe, a elaboração, manutenção e otimização de modelos preditivos e prescritivos baseados em algoritmos estatísticos que visem oferecer insights para negócios e otimização de operações de vendas, marketing e atendimento ao cliente. Fazer análises exploratórias e construir visualizações de dados para que as análises sejam consumidas por outras áreas. Apoiar a equipe de dados que visem a otimização da qualidade e uso desses dados, bem como seu tratamento e limpeza para melhores resultados nos modelos construídos. Interagir com outros produtos para compreender e estruturar as diversas fontes de dados. Se reunir, entender e traduzir necessidades de negócios e operações em possíveis soluções baseadas em modelos estatísticos. Graduação Completa em Estatística, Engenharias, Ciências da Computação, Análise de Sistemas, Matemática Aplicada, Física ou cursos semelhantes. Experiência como Cientista de Dados. Perfil detalhista, analítico, investigativo e curioso. Experiência avançada em SQL. Experiência avançada em extrair, transformar e carregar (ETL) dados de um banco de dados para outro. Experiência avançada em mineração, modelagem e manipulação de grandes volumes de dados. Experiência avançada em modelagem estatística preditiva e prescritiva. Conhecimentos em ferramentas de visualização, especialmente Power BI. Domínio de técnicas de aprendizado de máquina são um diferencial.  Idioma:  Inglês - Fluente
Cientista de Dados;https://www.catho.com.br/vagas/cientista-de-dados/18567379/?origem_apply=busca-de-vagas&entrada_apply=direto;São Paulo - SP (1);Buscamos consultor que atuará junto ao cliente para direcionar as tendências das análises e estudo. Promovendo o mindset de análise de dados em toda operação, juntamente com o time de Analytics e desenvolvendo a parceria com o time de UX, promovendo uma cultura de foco na satisfação do cliente em uma vertente do serviço prestado na Vivo. - Intelectualmente curioso, colaborativo, automotivado, que goste de aprender novas tecnologias e goste de trabalhar num ambiente dinâmico  - Ensino Superior completo ou em conclusão.  - Experiência com Datawarehouse  - Experiência com bancos de dados SQL e NoSQL  - Experiência com linguagem SQL e melhores práticas  - Bons conhecimento em PythoN  - Noções de desenvolvimento web (API/REST)  - Vivência em entregas e organização de projetos
Cientista de Dados;https://www.catho.com.br/vagas/cientista-de-dados/18585739/?origem_apply=busca-de-vagas&entrada_apply=direto;São Paulo - SP (1);Desenvolver e implantar modelos voltados para alavancar negócios - algoritmos (ou modelos) de propensões focados à estratégia do negócio - Exemplos: redução de churn, avaliação de clientes propensos a produtos específicos, etc. Trabalhar muito próximo ao CRM, Canais e Produto para apoiar e implementar decisões baseadas em Advanced Analytics Análises/estudos de ampliação do nosso conhecimento do cliente, trazendo insights, oportunidades de negócio, investigando mais a fundo, indo além dos resultados superficiais e das hipóteses iniciais. Saber explicar suas descobertas com clareza e desenvoltura tanto para um público técnico quanto para um público não técnico. Analisar todos os ângulos de um problema, considerar a fonte correta de dados ecultivar uma curiosidade constante. Habilidade no gerenciamento do tempo. Ensino Superior completo. Experiência prática em Advanced Analytics em CRM (Machine Learning , Deep Learning , Modelos Não supervisionados, Otimização Matemática). Experiência comprovada em programação e domínio nas linguagens SAS, R e/ou Python. Manipulação e estruturação de Dados. Advanced Analytics em CRM - Intermediário.
Cientista de Dados;https://www.catho.com.br/vagas/cientista-de-dados/18588218/?origem_apply=busca-de-vagas&entrada_apply=direto;Campinas - SP (1);(1) Desenvolvimento e treinamento de algoritmos (por meio de técnicas de aprendizagem supervisionada e não supervisionada) (2) Estruturar, tratar e efetuar o processamento de bases de dados e (3) Elaboração de modelagem de regras de negócio em plataformas ou sistemas web. (1) Modelagem e desenvolvimento de algoritmos em Javascript, Matlab, Node.js, Python ou R (2) Treinamento de algoritmos por meio de técnicas de aprendizagem supervisionada e não supervisionada (3) Estruturação, tratamento e processamento de bases de dados (4) Modelagem de regras de negócio em plataformas ou sistemas web.  ESCOLARIDADE MÍNIMA: Doutorado em Ciência da Computação, Engenharia da Computação, Estatística ou Matemática.
Cientista de Dados;https://www.catho.com.br/vagas/cientista-de-dados/18581465/?origem_apply=busca-de-vagas&entrada_apply=direto;São Paulo - SP (1);Desenvolver e aplicar modelos estatísticos, preditivos e prescritivos, utilizando ferramentas tecnológicas e linguagens, tais como: Python, Java, Angular, R ou PySpark. Explorar dados e construir soluções que suportem as decisões de negócio, com projetos em diferentes áreas da empresa, tais como fraude, crédito, análises de market share, e/ou competitividade, avaliação de produtos e/ou serviços. Ensino Superior Completo em Ciência da Computação ou áreas afins  Desejável Pós Graduação em Inteligência Competitiva, Bic Data e Business Inteligence  Habilidade em Data Mining, Machine Learning, Python e Google Analytics, Big Data, Programação em Java SQL e PowerBuilder.  Idioma:  Inglês - Intermediário
